label,city,state,lon,lat,m4m,m4w,w4m,w4w,k1,c1,k2,c2,k3,c3,k4,c4,k5,c5
city,southwest MS,PA,-79.439801,40.360223,13,16,24,20,w4w,9,curious,6,real,5,something,5,want,5
city,texarkana,TX,-94.39495,33.476552,31,24,8,44,girl,10,m4m,9,need,7,woman,7,friend,6
city,lake charles,LA,-93.326527,30.264232,28,39,30,74,man,10,woman,10,friends,9,w4w,9,need,8
city,bend,OR,-120.949520,44.001834,43,93,23,46,fun,12,new,10,m4m,9,love,8,man,8
city,"birmingham, AL",AL,-86.929208,33.544622,631,342,119,55,m4m,130,fun,71,suck,62,need,58,black,55
city,college station,TX,-96.293826,30.579234,317,132,35,12,m4m,55,fun,34,need,30,guy,22,suck,18
city,lubbock,TX,-101.821292,33.610018,192,155,0,38,m4m,36,fun,18,s,16,want,14,m4w,13
city,north platte,NE,-100.746912,41.046447,0,0,0,37,want,4,woman,4,something,3,w4w,3,bi,2
city,louisville,CO,-105.373507,40.087835,431,476,77,38,m4m,108,guy,55,woman,50,seeking,48,fun,46
city,chillicothe,TX,-99.547098,34.195699,24,45,17,61,female,15,sexy,13,girl,11,cute,10,seeking,10
city,springfield,OR,-122.872806,44.095761,139,378,80,53,woman,35,friend,30,guy,26,m4m,26,girl,25
city,mankato,KS,-98.20595,39.787529,0,39,0,39,femme,5,girl,5,something,5,love,4,m4w,4
city,valdosta,GA,-83.207206,30.975119,30,54,30,42,girl,8,good,8,m4m,8,seeking,8,guy,7
city,grand forks,ND,-97.394446,47.933481,44,39,29,22,m4m,13,ltr,8,seeking,7,guy,6,want,6
city,billings,OK,-97.408128,36.513543,35,73,25,35,friend,9,out,8,want,8,woman,8,girl,7
city,macon,MO,-92.451742,39.773979,37,116,39,0,m4m,12,seeking,12,need,10,fun,9,good,9
city,galveston,TX,-94.800238,29.330501,35,37,13,3,m4m,13,want,7,fun,5,relationship,5,need,4
city,houston,AK,-149.715167,62.280436,8125,2684,541,495,m4m,1910,top,910,bottom,777,guy,758,now,585
city,tallahassee,FL,-84.29095,30.449428,216,149,76,47,m4m,45,guy,25,seeking,25,woman,20,black,17
city,fresno,CA,-119.639658,36.746375,872,352,54,41,m4m,186,bottom,75,need,73,guy,65,cock,64
city,"rochester, MN",MN,-92.405294,44.107815,0,37,0,37,woman,11,something,7,friends,5,love,5,femme,4
city,beaumont,CA,-116.954753,33.92703,50,55,24,6,m4m,10,woman,10,m4w,8,seeking,6,love,5
city,auburn,WA,-122.097976,47.288362,35,36,20,3,m4m,11,seeking,7,black,6,female,6,white,6
city,helena,OK,-98.271091,36.546639,66,8,46,25,m4m,15,girl,8,man,8,friend,6,fun,6
city,logan,NM,-103.264281,35.52453,0,0,0,79,friend,8,w4w,7,woman,7,first,6,friends,6
city,eastern NC,KY,-82.818388,37.512564,193,138,6,19,seeking,49,woman,48,m4m,30,fun,27,good,27
city,modesto,CA,-120.937052,37.60396,411,188,0,0,m4m,99,guy,38,fun,31,suck,28,top,28
city,milwaukee,WI,-87.569664,43.017412,1016,767,113,37,m4m,269,fun,105,guy,103,seeking,85,bottom,81
city,eau claire,WI,-91.477897,44.80456,30,126,49,47,real,12,fun,11,out,11,someone,10,woman,10
city,fairbanks,AK,-146.275980,64.856055,6,78,23,6,good,6,woman,6,m4w,5,s,5,someone,5
city,"athens, OH",OH,-82.013803,39.339279,7,9,8,70,seeking,7,woman,6,bbw,5,ltr,5,w4w,5
city,oneonta,AL,-86.5535,33.968171,0,0,0,38,female,8,friend,6,cute,5,girl,5,special,4
city,denver,CO,-104.408349,39.738752,5752,2062,335,159,m4m,1151,guy,490,bottom,487,fun,479,top,457
city,new orleans,LA,-89.882564,30.032997,1522,504,111,111,m4m,403,top,144,bottom,124,fun,120,guy,115
city,charlottesville,IN,-85.625798,39.838824,97,99,19,71,m4m,21,seeking,16,friend,14,woman,14,fun,13
city,meridian,CA,-121.848565,39.066931,0,0,0,39,female,4,need,3,bi,2,cum,2,first,2
city,eugene,OR,-122.998790,43.863845,81,348,69,42,guy,29,fun,24,woman,21,girl,20,s,20
city,green bay,WI,-88.111252,44.42504,47,145,35,55,woman,23,real,19,man,16,love,15,seeking,15
city,harrisburg,OR,-123.108438,44.273684,188,255,58,49,m4m,53,fun,34,seeking,34,guy,22,bottom,20
city,"fayetteville, NC",NC,-79.011328,35.05425,134,284,191,55,m4m,38,seeking,38,man,37,woman,35,ltr,32
city,flint,TX,-95.390166,32.226635,47,144,28,22,seeking,23,m4w,21,friend,15,fun,14,women,13
city,"richmond, VA",VA,-77.431555,37.540646,891,673,150,76,m4m,164,bottom,95,fun,95,top,92,white,85
city,"ames, IA",IA,-93.647237,42.045748,25,36,14,45,seeking,9,woman,9,bi,6,fun,6,girl,6
city,susanville,CA,-120.719159,40.548881,4,6,1,64,fwb,7,girl,5,femme,4,friends,3,love,3
city,hickory,KY,-88.640928,36.852197,53,122,51,11,m4m,18,love,14,lady,10,one,9,s,9
city,missoula,MT,-114.049824,47.116034,38,38,38,0,seeking,7,m4m,6,fun,5,love,5,man,5
city,redding,CA,-122.387808,40.704337,40,114,0,0,m4w,9,anyone,8,out,8,love,7,m4m,7
city,"york, PA",PA,-76.687826,39.972985,78,154,31,6,m4m,24,guy,21,girl,16,ltr,12,man,11
city,medford,OR,-122.793659,42.322392,39,153,0,39,seeking,14,single,14,guy,12,good,10,woman,10
city,central NJ,AK,-151.025085,65.226375,2703,614,26,77,m4m,485,suck,262,guy,232,fun,222,cock,202
city,state college,PA,-77.760172,40.972229,43,74,19,39,woman,16,seeking,11,fun,10,real,8,someone,8
city,huntington,OR,-117.389163,44.432748,32,62,29,34,ltr,9,woman,9,friend,8,good,8,m4m,8
city,pensacola,FL,-87.275772,30.61428,74,225,39,39,m4m,19,guy,17,woman,17,good,16,fun,15
city,fargo,OK,-99.622067,36.373497,51,113,53,20,fun,13,ltr,13,seeking,10,someone,10,girl,9
city,plattsburgh,NY,-73.447398,44.685411,0,0,0,35,w4w,9,woman,5,girl,4,women,4,tonight,3
city,la salle co,CO,-104.665639,40.328185,8,26,16,2,something,4,give,3,same,3,special,3,18,2
city,lawrence,NE,-98.25954,40.291047,12,60,11,73,woman,15,bi,10,fun,9,sexy,8,w4w,8
city,"victoria, TX",TX,-97.033759,28.752488,10,32,12,1,love,4,more,4,want,4,m4w,3,maybe,3
city,albuquerque,NM,-106.672872,35.044339,1372,521,111,57,m4m,324,fun,120,bottom,108,suck,92,top,90
city,port huron,MI,-82.66522,42.824095,0,38,0,37,want,8,woman,8,m,6,sexy,5,w4w,5
city,las cruces,NM,-106.604677,32.329638,148,94,20,63,m4m,34,want,15,bottom,14,out,13,top,13
city,shreveport,LA,-93.75256,32.607556,35,111,39,38,friend,12,girl,12,m4m,11,m4w,10,man,10
city,"albany, GA",GA,-84.132357,31.591073,15,25,25,64,w4w,8,friends,7,love,6,4,5,girl,5
city,lynchburg,MO,-92.30882,37.522073,0,38,0,40,friend,10,maybe,7,more,7,seeking,6,femme,5
city,waterloo,NE,-96.305914,41.248299,22,38,15,45,woman,10,seeking,9,girl,8,ltr,8,fun,6
city,long island,KS,-99.347075,39.784708,1173,726,152,0,m4m,266,guy,127,married,115,fun,108,want,104
city,houma,LA,-90.732776,29.597188,14,33,11,45,real,7,fun,6,m4m,6,seeking,6,something,6
city,raleigh,IL,-88.549793,37.822856,2746,959,232,76,m4m,587,fun,300,guy,221,top,214,need,178
city,charleston,AR,-93.95098,35.387924,389,354,116,65,m4m,82,fun,58,guy,44,bottom,40,woman,39
city,lewiston,CA,-122.837262,40.736068,6,23,4,68,friends,11,girl,8,seeking,6,want,6,friend,5
city,austin,NV,-117.196690,40.046976,4488,1526,202,125,m4m,925,top,408,bottom,388,guy,354,need,334
city,"bloomington, IL",IL,-88.939637,40.488468,48,66,13,45,m4m,13,fun,11,guy,8,want,8,date,7
city,humboldt,AZ,-112.252340,34.518883,36,105,25,43,girl,14,new,12,single,12,more,11,m4m,9
city,roswell,NM,,,0,0,0,39,more,4,couple,3,friends,3,maybe,3,mw4w,3
city,gulfport,MS,-89.031635,30.400079,58,147,36,23,m4m,19,fun,17,seeking,14,out,11,female,10
city,"bloomington, IN",IN,-86.501543,39.173234,33,102,29,50,seeking,15,woman,11,m4m,10,m4w,10,friend,9
city,del rio,TX,-101.230032,29.763171,7,12,2,56,w4w,9,friend,5,fwb,5,gf,4,girl,4
city,new york,NY,-73.977182,40.780751,4133,6216,293,300,m4m,883,top,455,guy,365,bottom,299,hot,247
city,danville,WA,-118.505768,48.954016,29,31,7,36,seeking,7,woman,7,good,6,lady,5,w4w,5
city,muncie,IL,-87.844689,40.116478,38,77,0,0,love,10,guy,8,m4m,7,friend,6,guys,6
city,sioux falls,SD,-96.79134,43.674582,37,110,37,0,love,11,fun,8,ltr,8,guy,7,m4m,7
city,pittsburgh,PA,-80.024817,40.434436,2463,1187,189,77,m4m,451,fun,233,need,193,guy,168,top,146
city,yakima,WA,-120.794978,46.637538,35,87,12,9,seeking,11,fun,8,out,8,date,7,guy,7
city,vermont,IL,-90.393432,40.285383,122,213,45,60,seeking,31,fun,26,woman,22,man,18,guy,16
city,"panama city, FL",FL,-85.916988,30.243832,35,105,0,36,fun,15,m4m,12,girl,10,seeking,8,country,7
city,hartford,AR,-94.353779,35.060177,676,339,72,55,m4m,171,fun,65,bottom,55,top,52,seeking,46
city,evansville,WY,-106.175375,42.899153,43,116,37,72,m4m,23,fun,17,friends,14,friend,13,woman,13
city,holland,TX,-97.418108,30.887588,12,31,10,85,woman,11,friends,9,friend,8,fun,8,girl,7
city,western IL,NE,-97.265045,40.403717,21,46,6,37,friends,7,m4m,7,girl,5,real,5,seeking,5
city,"columbia, MO",MO,-92.102153,38.903318,81,169,72,25,m4m,25,fun,18,woman,18,guy,14,man,13
city,youngstown,OH,-80.802854,41.017082,64,127,51,22,seeking,23,woman,16,real,15,m4m,14,girl,12
city,ventura,CA,-119.146228,34.356248,957,258,57,23,m4m,271,cock,88,suck,87,need,70,want,63
